true_label,predicted_label
disappointed,disappointed
furious,caring
lonely,jealous
caring,caring
embarrassed,guilty
ashamed,guilty
annoyed,nostalgic
nostalgic,sad
disappointed,disappointed
anxious,confident
content,joyful
excited,jealous
guilty,guilty
sentimental,grateful
faithful,faithful
faithful,apprehensive
guilty,joyful
proud,surprised
proud,proud
sentimental,disgusted
furious,surprised
jealous,angry
jealous,confident
ashamed,embarrassed
ashamed,guilty
annoyed,jealous
guilty,caring
apprehensive,apprehensive
surprised,joyful
hopeful,annoyed
nostalgic,nostalgic
embarrassed,embarrassed
sad,prepared
confident,prepared
excited,joyful
terrified,guilty
surprised,proud
excited,annoyed
disgusted,disgusted
proud,proud
afraid,caring
faithful,grateful
furious,trusting
lonely,lonely
annoyed,annoyed
disgusted,disgusted
angry,grateful
impressed,jealous
disgusted,disgusted
sentimental,anticipating
hopeful,apprehensive
nostalgic,nostalgic
angry,embarrassed
proud,prepared
lonely,surprised
proud,surprised
trusting,faithful
trusting,trusting
confident,terrified
disgusted,disgusted
proud,prepared
anxious,anxious
anxious,prepared
joyful,joyful
prepared,prepared
joyful,prepared
grateful,excited
devastated,confident
afraid,disappointed
guilty,guilty
devastated,sad
guilty,guilty
impressed,surprised
joyful,excited
embarrassed,embarrassed
impressed,surprised
confident,confident
ashamed,embarrassed
proud,proud
apprehensive,surprised
excited,content
confident,proud
apprehensive,content
apprehensive,trusting
lonely,lonely
proud,confident
jealous,jealous
proud,proud
anxious,impressed
excited,excited
content,content
surprised,impressed
grateful,impressed
impressed,jealous
devastated,caring
lonely,lonely
caring,angry
anticipating,anticipating
furious,jealous
nostalgic,sentimental
excited,excited
lonely,lonely
furious,afraid
jealous,excited
caring,sad
disappointed,lonely
disappointed,disappointed
confident,trusting
afraid,terrified
guilty,confident
embarrassed,embarrassed
faithful,faithful
trusting,guilty
apprehensive,apprehensive
excited,excited
annoyed,annoyed
jealous,jealous
confident,confident
angry,annoyed
surprised,confident
disgusted,surprised
content,joyful
joyful,excited
nostalgic,sentimental
hopeful,caring
sad,devastated
hopeful,hopeful
hopeful,hopeful
afraid,terrified
angry,furious
nostalgic,sad
lonely,lonely
trusting,surprised
anxious,anticipating
excited,excited
guilty,guilty
impressed,excited
grateful,trusting
hopeful,caring
confident,proud
anxious,prepared
furious,hopeful
anticipating,hopeful
excited,anxious
lonely,lonely
annoyed,annoyed
hopeful,hopeful
devastated,guilty
disappointed,devastated
content,surprised
afraid,terrified
sentimental,sad
confident,confident
sentimental,nostalgic
furious,furious
guilty,guilty
nostalgic,lonely
embarrassed,annoyed
trusting,devastated
devastated,sad
embarrassed,embarrassed
prepared,excited
grateful,content
excited,excited
anxious,hopeful
caring,lonely
afraid,terrified
angry,annoyed
confident,proud
proud,proud
nostalgic,nostalgic
excited,guilty
anticipating,anticipating
angry,terrified
disappointed,faithful
jealous,annoyed
terrified,embarrassed
anxious,excited
excited,content
joyful,excited
terrified,afraid
prepared,prepared
anxious,anxious
prepared,excited
devastated,hopeful
excited,joyful
caring,content
prepared,confident
proud,caring
anxious,anxious
impressed,impressed
impressed,proud
impressed,prepared
anticipating,anticipating
anticipating,anticipating
prepared,prepared
angry,grateful
disgusted,annoyed
surprised,excited
afraid,afraid
furious,jealous
trusting,caring
annoyed,annoyed
lonely,lonely
prepared,prepared
disappointed,prepared
caring,caring
impressed,surprised
guilty,terrified
faithful,trusting
devastated,devastated
lonely,lonely
caring,caring
joyful,nostalgic
anxious,excited
jealous,jealous
prepared,excited
lonely,content
trusting,trusting
caring,guilty
jealous,jealous
angry,embarrassed
disappointed,annoyed
caring,caring
confident,hopeful
jealous,ashamed
embarrassed,nostalgic
annoyed,annoyed
grateful,proud
confident,joyful
annoyed,anxious
ashamed,impressed
guilty,guilty
annoyed,caring
excited,excited
sad,surprised
guilty,furious
prepared,prepared
terrified,terrified
anxious,hopeful
sentimental,sad
anxious,anxious
angry,annoyed
apprehensive,afraid
content,anticipating
impressed,afraid
terrified,afraid
lonely,nostalgic
excited,content
angry,angry
sentimental,devastated
content,surprised
angry,annoyed
devastated,sad
apprehensive,terrified
anxious,anxious
nostalgic,sad
jealous,jealous
annoyed,anxious
proud,proud
grateful,content
confident,confident
angry,angry
trusting,lonely
excited,prepared
faithful,guilty
content,surprised
nostalgic,nostalgic
nostalgic,proud
furious,furious
jealous,guilty
content,grateful
anxious,apprehensive
trusting,terrified
devastated,disgusted
grateful,grateful
terrified,surprised
anticipating,prepared
grateful,surprised
angry,embarrassed
devastated,surprised
excited,excited
faithful,caring
surprised,surprised
apprehensive,annoyed
prepared,grateful
lonely,faithful
disgusted,disgusted
proud,nostalgic
disgusted,disgusted
surprised,caring
angry,angry
devastated,sad
caring,disappointed
sad,proud
afraid,proud
nostalgic,surprised
anxious,anxious
guilty,guilty
caring,caring
nostalgic,nostalgic
hopeful,surprised
impressed,impressed
caring,jealous
proud,surprised
surprised,content
surprised,embarrassed
caring,sentimental
apprehensive,afraid
devastated,caring
angry,sad
embarrassed,confident
terrified,anticipating
grateful,jealous
angry,annoyed
devastated,surprised
angry,embarrassed
surprised,surprised
sad,surprised
afraid,apprehensive
terrified,terrified
furious,disappointed
grateful,grateful
caring,caring
confident,confident
embarrassed,annoyed
content,content
angry,furious
angry,disappointed
afraid,terrified
trusting,joyful
faithful,caring
impressed,hopeful
devastated,devastated
afraid,caring
nostalgic,jealous
hopeful,hopeful
hopeful,confident
surprised,surprised
ashamed,guilty
terrified,guilty
grateful,grateful
trusting,jealous
embarrassed,embarrassed
grateful,caring
sad,devastated
nostalgic,sentimental
sad,sad
jealous,jealous
confident,nostalgic
nostalgic,nostalgic
prepared,terrified
surprised,surprised
ashamed,annoyed
guilty,jealous
annoyed,annoyed
caring,guilty
surprised,impressed
prepared,prepared
nostalgic,prepared
terrified,afraid
embarrassed,embarrassed
disappointed,annoyed
apprehensive,terrified
anxious,anxious
faithful,trusting
afraid,terrified
disgusted,surprised
confident,confident
lonely,lonely
devastated,disappointed
prepared,confident
afraid,disgusted
devastated,sad
afraid,terrified
sad,guilty
anticipating,hopeful
excited,anticipating
disappointed,devastated
apprehensive,confident
lonely,lonely
devastated,sad
nostalgic,sentimental
sentimental,caring
furious,caring
caring,caring
angry,annoyed
sad,surprised
anticipating,disgusted
anxious,anxious
nostalgic,nostalgic
disgusted,disgusted
furious,annoyed
sentimental,sentimental
annoyed,surprised
surprised,surprised
guilty,guilty
grateful,grateful
angry,annoyed
anxious,nostalgic
confident,confident
sentimental,proud
trusting,surprised
jealous,jealous
grateful,excited
caring,impressed
disappointed,proud
prepared,ashamed
impressed,impressed
impressed,nostalgic
confident,impressed
trusting,hopeful
afraid,terrified
apprehensive,terrified
impressed,annoyed
surprised,surprised
sad,content
afraid,terrified
joyful,faithful
annoyed,terrified
anticipating,anxious
terrified,disgusted
jealous,afraid
embarrassed,guilty
annoyed,surprised
disgusted,joyful
ashamed,trusting
sad,sad
afraid,terrified
proud,confident
furious,apprehensive
hopeful,ashamed
sentimental,nostalgic
joyful,nostalgic
joyful,caring
devastated,devastated
angry,prepared
joyful,joyful
disappointed,anticipating
embarrassed,jealous
confident,excited
trusting,trusting
terrified,devastated
faithful,annoyed
confident,confident
prepared,anxious
sad,afraid
proud,hopeful
caring,apprehensive
surprised,terrified
disgusted,furious
confident,annoyed
annoyed,afraid
sentimental,surprised
devastated,disgusted
hopeful,proud
angry,ashamed
apprehensive,disgusted
annoyed,annoyed
embarrassed,embarrassed
impressed,sentimental
guilty,guilty
content,content
excited,excited
anticipating,hopeful
trusting,lonely
afraid,impressed
anxious,anxious
sad,surprised
angry,annoyed
confident,confident
content,content
disgusted,devastated
terrified,afraid
jealous,jealous
surprised,hopeful
embarrassed,hopeful
devastated,caring
proud,proud
disappointed,lonely
apprehensive,impressed
sad,terrified
confident,proud
afraid,excited
anxious,afraid
apprehensive,angry
joyful,caring
anxious,anxious
devastated,devastated
sentimental,nostalgic
angry,disappointed
anxious,hopeful
furious,jealous
embarrassed,embarrassed
disgusted,angry
sentimental,sad
jealous,jealous
anticipating,prepared
annoyed,annoyed
disappointed,excited
caring,caring
caring,grateful
devastated,guilty
disappointed,furious
impressed,impressed
faithful,trusting
impressed,surprised
nostalgic,nostalgic
trusting,guilty
guilty,guilty
trusting,faithful
proud,proud
sentimental,caring
surprised,impressed
lonely,lonely
surprised,terrified
grateful,surprised
trusting,lonely
surprised,disappointed
trusting,surprised
ashamed,annoyed
caring,excited
hopeful,surprised
excited,excited
angry,angry
ashamed,ashamed
annoyed,annoyed
furious,furious
embarrassed,guilty
apprehensive,trusting
disgusted,annoyed
afraid,terrified
terrified,lonely
grateful,grateful
guilty,guilty
disgusted,disgusted
caring,annoyed
jealous,jealous
sad,caring
lonely,lonely
prepared,trusting
afraid,afraid
guilty,afraid
apprehensive,lonely
proud,impressed
sad,sad
grateful,trusting
hopeful,content
disappointed,grateful
apprehensive,apprehensive
afraid,terrified
faithful,proud
terrified,guilty
apprehensive,terrified
caring,proud
prepared,confident
lonely,apprehensive
terrified,trusting
surprised,afraid
disgusted,angry
devastated,devastated
devastated,devastated
guilty,disappointed
lonely,apprehensive
apprehensive,terrified
surprised,surprised
hopeful,hopeful
faithful,furious
surprised,excited
caring,caring
content,hopeful
hopeful,hopeful
jealous,jealous
confident,prepared
joyful,grateful
content,grateful
grateful,grateful
trusting,trusting
excited,joyful
sentimental,devastated
caring,apprehensive
joyful,anxious
embarrassed,surprised
disappointed,disappointed
lonely,nostalgic
trusting,guilty
excited,prepared
prepared,hopeful
guilty,anticipating
angry,annoyed
hopeful,content
embarrassed,anxious
jealous,jealous
annoyed,angry
ashamed,disgusted
anxious,anxious
furious,angry
devastated,furious
disappointed,disappointed
lonely,lonely
jealous,jealous
impressed,anticipating
trusting,disgusted
furious,furious
faithful,caring
afraid,furious
hopeful,guilty
jealous,jealous
prepared,prepared
guilty,guilty
annoyed,disgusted
surprised,surprised
disappointed,guilty
faithful,angry
furious,angry
lonely,angry
guilty,angry
sentimental,sentimental
content,content
disgusted,disgusted
confident,hopeful
joyful,surprised
sentimental,trusting
disgusted,terrified
angry,disappointed
caring,grateful
hopeful,prepared
jealous,guilty
impressed,nostalgic
afraid,devastated
trusting,ashamed
annoyed,angry
nostalgic,nostalgic
embarrassed,guilty
afraid,terrified
grateful,grateful
impressed,caring
furious,annoyed
proud,angry
anxious,hopeful
content,lonely
disappointed,disappointed
nostalgic,sentimental
jealous,jealous
caring,caring
devastated,caring
joyful,hopeful
disappointed,hopeful
surprised,surprised
disgusted,disgusted
angry,angry
surprised,surprised
afraid,terrified
sad,disappointed
afraid,anxious
trusting,trusting
anticipating,anticipating
ashamed,guilty
angry,devastated
surprised,surprised
disgusted,annoyed
confident,afraid
impressed,impressed
afraid,afraid
jealous,jealous
caring,caring
surprised,surprised
angry,disappointed
anticipating,disgusted
devastated,sentimental
disappointed,disappointed
apprehensive,apprehensive
embarrassed,devastated
content,content
content,excited
devastated,devastated
ashamed,content
anxious,anxious
annoyed,annoyed
grateful,excited
surprised,disappointed
afraid,trusting
apprehensive,apprehensive
lonely,annoyed
angry,guilty
embarrassed,anxious
sentimental,nostalgic
embarrassed,embarrassed
annoyed,furious
lonely,annoyed
trusting,trusting
sentimental,nostalgic
faithful,faithful
grateful,anxious
apprehensive,terrified
grateful,guilty
angry,angry
joyful,surprised
angry,guilty
trusting,trusting
grateful,proud
hopeful,devastated
grateful,anxious
joyful,surprised
sentimental,caring
lonely,lonely
nostalgic,proud
sad,sad
surprised,impressed
impressed,impressed
confident,hopeful
angry,afraid
lonely,devastated
sentimental,sentimental
sad,angry
afraid,disappointed
prepared,trusting
embarrassed,embarrassed
prepared,anticipating
confident,confident
terrified,afraid
faithful,faithful
lonely,embarrassed
impressed,anxious
sad,guilty
afraid,terrified
anticipating,sad
terrified,devastated
terrified,terrified
sad,proud
surprised,nostalgic
furious,grateful
prepared,confident
anxious,confident
proud,hopeful
disgusted,disgusted
annoyed,prepared
apprehensive,anxious
faithful,surprised
anticipating,anticipating
angry,angry
terrified,afraid
surprised,surprised
disgusted,disgusted
guilty,ashamed
guilty,trusting
disappointed,embarrassed
proud,proud
anxious,apprehensive
prepared,excited
nostalgic,hopeful
guilty,disappointed
terrified,terrified
caring,sentimental
furious,furious
annoyed,annoyed
trusting,apprehensive
disappointed,disappointed
apprehensive,anticipating
excited,content
disgusted,trusting
disgusted,guilty
excited,trusting
grateful,impressed
furious,disgusted
surprised,jealous
sad,surprised
furious,disgusted
nostalgic,nostalgic
nostalgic,nostalgic
joyful,hopeful
disgusted,terrified
ashamed,ashamed
sad,sad
joyful,afraid
embarrassed,embarrassed
nostalgic,hopeful
ashamed,embarrassed
surprised,disgusted
furious,disgusted
hopeful,hopeful
confident,confident
jealous,disgusted
annoyed,sad
devastated,devastated
lonely,lonely
nostalgic,nostalgic
grateful,grateful
angry,terrified
nostalgic,jealous
disgusted,impressed
devastated,surprised
jealous,jealous
disappointed,embarrassed
furious,guilty
annoyed,caring
excited,excited
ashamed,furious
caring,grateful
disgusted,jealous
jealous,jealous
impressed,devastated
excited,terrified
grateful,grateful
lonely,sad
surprised,jealous
hopeful,devastated
content,hopeful
disgusted,trusting
grateful,afraid
caring,angry
joyful,angry
grateful,prepared
proud,proud
guilty,excited
terrified,afraid
anticipating,afraid
nostalgic,nostalgic
proud,proud
disappointed,surprised
guilty,sad
content,surprised
grateful,confident
angry,furious
annoyed,angry
proud,proud
guilty,confident
ashamed,guilty
surprised,jealous
terrified,terrified
confident,trusting
disappointed,impressed
terrified,annoyed
prepared,anxious
jealous,excited
joyful,anticipating
surprised,terrified
lonely,lonely
apprehensive,anxious
apprehensive,angry
impressed,trusting
devastated,guilty
jealous,confident
hopeful,sentimental
afraid,caring
impressed,jealous
furious,sad
nostalgic,lonely
guilty,guilty
proud,proud
afraid,caring
afraid,anxious
confident,grateful
proud,proud
disappointed,annoyed
jealous,angry
content,content
impressed,surprised
grateful,hopeful
sentimental,sentimental
confident,prepared
anticipating,anticipating
surprised,surprised
afraid,afraid
apprehensive,anxious
surprised,anticipating
content,content
nostalgic,nostalgic
sentimental,sentimental
impressed,impressed
grateful,surprised
afraid,jealous
anticipating,hopeful
prepared,confident
proud,hopeful
sad,sad
sentimental,prepared
angry,disappointed
surprised,nostalgic
content,hopeful
ashamed,guilty
anticipating,content
sad,disappointed
guilty,annoyed
disappointed,prepared
nostalgic,impressed
annoyed,hopeful
devastated,devastated
prepared,prepared
anxious,anxious
impressed,caring
nostalgic,nostalgic
sentimental,sentimental
annoyed,trusting
surprised,jealous
sad,sad
trusting,trusting
devastated,sad
surprised,surprised
disappointed,surprised
proud,proud
hopeful,anxious
hopeful,annoyed
jealous,jealous
disgusted,terrified
impressed,impressed
jealous,furious
surprised,jealous
sad,sad
caring,hopeful
nostalgic,nostalgic
disappointed,disappointed
joyful,nostalgic
anxious,anticipating
impressed,furious
terrified,terrified
confident,hopeful
angry,afraid
content,content
faithful,joyful
nostalgic,nostalgic
ashamed,confident
anticipating,anticipating
joyful,joyful
annoyed,annoyed
surprised,surprised
anxious,surprised
disgusted,disgusted
confident,confident
furious,terrified
ashamed,terrified
confident,prepared
content,content
guilty,guilty
devastated,terrified
anticipating,hopeful
afraid,terrified
proud,proud
embarrassed,ashamed
trusting,devastated
hopeful,confident
disgusted,disgusted
disappointed,devastated
ashamed,confident
nostalgic,nostalgic
guilty,hopeful
lonely,lonely
annoyed,annoyed
proud,proud
guilty,disgusted
excited,disgusted
afraid,surprised
faithful,surprised
annoyed,annoyed
content,lonely
annoyed,angry
surprised,impressed
grateful,grateful
anxious,prepared
prepared,prepared
disappointed,disgusted
anxious,afraid
faithful,faithful
furious,disappointed
content,excited
impressed,surprised
surprised,disgusted
nostalgic,nostalgic
caring,grateful
grateful,caring
guilty,guilty
surprised,surprised
prepared,apprehensive
terrified,terrified
terrified,terrified
confident,confident
annoyed,disgusted
guilty,guilty
excited,hopeful
terrified,anxious
caring,hopeful
caring,caring
caring,sad
surprised,jealous
ashamed,guilty
anxious,excited
hopeful,hopeful
sentimental,proud
nostalgic,sentimental
joyful,joyful
surprised,angry
jealous,annoyed
anxious,disappointed
apprehensive,apprehensive
faithful,content
impressed,impressed
afraid,terrified
guilty,guilty
embarrassed,embarrassed
prepared,prepared
grateful,embarrassed
devastated,sad
afraid,trusting
disgusted,impressed
angry,devastated
disappointed,furious
sentimental,sentimental
anxious,anticipating
faithful,trusting
content,disgusted
prepared,trusting
angry,guilty
confident,confident
nostalgic,nostalgic
proud,hopeful
anticipating,excited
excited,content
trusting,disgusted
sad,disgusted
anxious,anxious
content,proud
lonely,lonely
anticipating,excited
anticipating,confident
grateful,grateful
sentimental,sad
anxious,faithful
nostalgic,jealous
caring,caring
confident,jealous
devastated,angry
afraid,terrified
lonely,angry
annoyed,annoyed
sad,embarrassed
lonely,lonely
prepared,trusting
proud,excited
grateful,grateful
angry,furious
surprised,annoyed
lonely,lonely
proud,proud
anxious,afraid
faithful,excited
apprehensive,apprehensive
grateful,trusting
impressed,grateful
guilty,guilty
hopeful,proud
joyful,excited
guilty,guilty
anticipating,excited
excited,prepared
lonely,lonely
embarrassed,embarrassed
disgusted,annoyed
joyful,joyful
disappointed,disappointed
anxious,terrified
proud,surprised
devastated,sad
proud,proud
angry,devastated
prepared,prepared
trusting,afraid
lonely,guilty
excited,anticipating
nostalgic,surprised
guilty,guilty
jealous,jealous
excited,joyful
furious,lonely
excited,apprehensive
nostalgic,nostalgic
impressed,joyful
surprised,terrified
sad,angry
annoyed,afraid
grateful,caring
caring,joyful
prepared,prepared
jealous,jealous
afraid,afraid
trusting,apprehensive
apprehensive,lonely
disappointed,disappointed
sentimental,nostalgic
nostalgic,nostalgic
furious,disappointed
guilty,afraid
disgusted,disgusted
devastated,devastated
embarrassed,embarrassed
angry,furious
joyful,joyful
nostalgic,sad
anticipating,excited
prepared,content
angry,impressed
content,grateful
devastated,anxious
trusting,impressed
proud,sentimental
guilty,afraid
afraid,trusting
anxious,afraid
surprised,disgusted
angry,annoyed
anxious,embarrassed
trusting,angry
prepared,confident
surprised,embarrassed
jealous,jealous
joyful,nostalgic
proud,caring
apprehensive,disappointed
guilty,faithful
grateful,hopeful
sad,nostalgic
anticipating,hopeful
nostalgic,nostalgic
furious,disappointed
prepared,prepared
nostalgic,nostalgic
disappointed,guilty
prepared,embarrassed
annoyed,devastated
apprehensive,prepared
joyful,content
content,excited
trusting,devastated
jealous,nostalgic
prepared,confident
annoyed,disgusted
anxious,terrified
proud,furious
hopeful,prepared
afraid,prepared
anticipating,caring
lonely,lonely
sad,sad
grateful,caring
sentimental,afraid
sad,devastated
faithful,faithful
impressed,annoyed
sad,impressed
excited,excited
guilty,sad
joyful,terrified
hopeful,confident
joyful,surprised
surprised,excited
impressed,excited
surprised,caring
prepared,anxious
surprised,annoyed
surprised,surprised
hopeful,surprised
guilty,embarrassed
afraid,terrified
angry,annoyed
proud,proud
anxious,anxious
prepared,prepared
disappointed,guilty
trusting,surprised
ashamed,caring
surprised,surprised
ashamed,embarrassed
proud,embarrassed
excited,caring
afraid,guilty
apprehensive,excited
terrified,terrified
joyful,embarrassed
excited,excited
jealous,afraid
guilty,jealous
devastated,embarrassed
furious,disgusted
furious,angry
jealous,jealous
furious,disappointed
surprised,hopeful
excited,excited
embarrassed,terrified
content,content
caring,caring
excited,excited
lonely,lonely
confident,jealous
devastated,trusting
apprehensive,apprehensive
hopeful,hopeful
proud,confident
trusting,devastated
surprised,furious
nostalgic,embarrassed
devastated,afraid
joyful,sentimental
joyful,joyful
prepared,confident
guilty,guilty
nostalgic,nostalgic
disappointed,confident
embarrassed,jealous
confident,confident
excited,nostalgic
ashamed,disappointed
terrified,caring
excited,excited
ashamed,embarrassed
confident,content
excited,proud
excited,excited
proud,impressed
terrified,apprehensive
grateful,confident
jealous,surprised
joyful,joyful
guilty,anxious
excited,excited
apprehensive,afraid
anticipating,excited
apprehensive,disgusted
content,content
prepared,prepared
sad,devastated
confident,prepared
furious,anticipating
nostalgic,nostalgic
annoyed,guilty
apprehensive,afraid
ashamed,ashamed
hopeful,afraid
prepared,hopeful
embarrassed,embarrassed
joyful,surprised
hopeful,disappointed
prepared,annoyed
confident,surprised
anticipating,hopeful
guilty,terrified
guilty,guilty
devastated,hopeful
apprehensive,excited
lonely,lonely
disgusted,jealous
anticipating,surprised
guilty,sad
lonely,lonely
surprised,surprised
furious,caring
content,hopeful
anxious,anxious
grateful,trusting
apprehensive,lonely
prepared,afraid
embarrassed,embarrassed
nostalgic,sentimental
disgusted,angry
nostalgic,nostalgic
nostalgic,sentimental
ashamed,surprised
ashamed,guilty
lonely,content
excited,excited
grateful,afraid
surprised,anxious
impressed,anxious
embarrassed,embarrassed
excited,excited
terrified,terrified
annoyed,afraid
nostalgic,excited
annoyed,angry
impressed,impressed
content,anxious
impressed,content
proud,proud
afraid,annoyed
disappointed,sad
afraid,disgusted
jealous,grateful
surprised,proud
anxious,hopeful
afraid,terrified
faithful,jealous
afraid,afraid
nostalgic,caring
anticipating,lonely
faithful,proud
guilty,guilty
guilty,guilty
proud,hopeful
grateful,grateful
grateful,nostalgic
anxious,anxious
joyful,confident
prepared,excited
joyful,grateful
grateful,disgusted
sentimental,surprised
trusting,faithful
embarrassed,disappointed
furious,anxious
annoyed,content
anticipating,anticipating
nostalgic,lonely
trusting,devastated
afraid,afraid
nostalgic,sentimental
lonely,lonely
proud,confident
prepared,afraid
disgusted,annoyed
embarrassed,terrified
disappointed,disgusted
anticipating,disappointed
surprised,nostalgic
anxious,joyful
confident,nostalgic
afraid,terrified
joyful,jealous
excited,apprehensive
prepared,grateful
anticipating,terrified
confident,confident
faithful,faithful
furious,disappointed
faithful,guilty
ashamed,ashamed
embarrassed,proud
prepared,confident
sentimental,sentimental
excited,sad
anticipating,anticipating
sentimental,faithful
sentimental,sentimental
prepared,hopeful
anticipating,impressed
surprised,proud
sad,lonely
grateful,grateful
grateful,lonely
sad,sentimental
joyful,joyful
hopeful,hopeful
surprised,terrified
trusting,grateful
prepared,proud
trusting,joyful
hopeful,hopeful
nostalgic,nostalgic
caring,sentimental
furious,surprised
caring,grateful
impressed,proud
embarrassed,guilty
prepared,hopeful
proud,excited
disgusted,embarrassed
ashamed,guilty
surprised,anticipating
proud,impressed
furious,anxious
furious,trusting
terrified,disgusted
excited,lonely
furious,annoyed
annoyed,annoyed
impressed,surprised
jealous,disgusted
angry,embarrassed
furious,furious
guilty,anticipating
hopeful,excited
confident,annoyed
jealous,jealous
jealous,jealous
jealous,jealous
trusting,confident
faithful,hopeful
sad,angry
proud,proud
anxious,annoyed
sentimental,sentimental
apprehensive,jealous
proud,proud
devastated,proud
annoyed,anticipating
guilty,ashamed
disgusted,disgusted
anticipating,jealous
trusting,trusting
trusting,content
anxious,confident
devastated,terrified
angry,angry
angry,devastated
guilty,guilty
surprised,surprised
angry,angry
ashamed,guilty
terrified,afraid
guilty,lonely
disgusted,furious
annoyed,angry
excited,hopeful
angry,jealous
faithful,faithful
impressed,impressed
apprehensive,lonely
impressed,sad
sentimental,surprised
sentimental,sad
furious,angry
joyful,anticipating
disgusted,faithful
angry,angry
grateful,grateful
disappointed,prepared
hopeful,confident
surprised,surprised
excited,anticipating
proud,trusting
joyful,anticipating
hopeful,content
surprised,excited
disappointed,disappointed
afraid,proud
proud,sad
angry,annoyed
anxious,anxious
lonely,confident
apprehensive,confident
sad,sad
caring,hopeful
devastated,anxious
annoyed,sad
annoyed,annoyed
sentimental,disgusted
surprised,surprised
annoyed,apprehensive
ashamed,embarrassed
confident,confident
terrified,terrified
sad,sad
lonely,lonely
sentimental,nostalgic
anticipating,afraid
terrified,terrified
annoyed,afraid
sad,faithful
furious,sad
jealous,proud
jealous,afraid
angry,angry
faithful,jealous
caring,caring
surprised,prepared
proud,proud
surprised,furious
sentimental,sentimental
disgusted,disgusted
sentimental,proud
furious,angry
proud,devastated
impressed,impressed
guilty,guilty
terrified,nostalgic
hopeful,anxious
joyful,joyful
caring,grateful
furious,annoyed
embarrassed,proud
hopeful,terrified
joyful,joyful
content,content
disgusted,disgusted
furious,furious
disappointed,apprehensive
caring,caring
ashamed,guilty
annoyed,angry
impressed,impressed
ashamed,surprised
ashamed,guilty
joyful,grateful
lonely,terrified
anticipating,excited
joyful,excited
nostalgic,ashamed
sad,embarrassed
nostalgic,nostalgic
excited,prepared
impressed,sentimental
disappointed,disappointed
devastated,disappointed
joyful,nostalgic
sentimental,impressed
terrified,terrified
excited,prepared
jealous,jealous
excited,caring
afraid,afraid
surprised,surprised
impressed,impressed
disappointed,surprised
anxious,anxious
confident,anxious
confident,prepared
hopeful,hopeful
annoyed,annoyed
ashamed,guilty
surprised,surprised
anxious,excited
faithful,faithful
apprehensive,anxious
impressed,surprised
anticipating,anticipating
apprehensive,disappointed
angry,terrified
anticipating,hopeful
content,proud
prepared,anxious
grateful,excited
furious,guilty
trusting,hopeful
impressed,prepared
sad,caring
disappointed,nostalgic
ashamed,ashamed
surprised,lonely
nostalgic,content
angry,surprised
confident,confident
furious,angry
excited,anticipating
prepared,hopeful
joyful,content
apprehensive,sentimental
nostalgic,sentimental
proud,proud
trusting,devastated
lonely,sad
disgusted,guilty
disappointed,disappointed
trusting,grateful
content,content
anticipating,nostalgic
grateful,hopeful
sad,devastated
lonely,lonely
anxious,anxious
terrified,terrified
angry,terrified
ashamed,ashamed
prepared,proud
grateful,disappointed
joyful,prepared
nostalgic,nostalgic
furious,furious
sentimental,sentimental
impressed,surprised
nostalgic,disappointed
proud,anticipating
hopeful,proud
anticipating,excited
